"GRID_ID","HURR_FCTR","NONHURR_FCTR"
"0405207356",2.7724,1.1817
"0405207357",2.7724,1.1938
"0405207379",1.2211,1.1625
"0405207380",1.2211,1.1686
"0405207381",1.2211,1.1524
"0405207382",1.2211,1.1504
"0405207383",1.2211,1.1585
"0405207384",1.2211,1.1544
"0405207385",1.2211,1.1726
"0405207386",1.2211,1.1615
"0405207387",1.2211,1.1494
"0405207388",1.2211,1.1524
"0405207389",1.2211,1.1474
"0405207390",1.2211,1.1463
"0405207391",1.2211,1.0767
"0405207392",1.2211,1.0958
"0405207393",1.2211,1.109
"0405207394",1.2211,1.0686
"0405207395",1.2211,1.0736
"0405207396",1.2211,1.0827
"0405207397",1.2211,1.0706
"0405207398",1.2211,1.0686
"0405207399",1.2211,1.0918
"0405207400",1.2211,1.0958
"0405207401",1.2211,1.0625
"0405207402",1.2211,1.1009
"0405207403",1.2211,1.0969
"0405207404",1.2211,1.0979
"0405207405",1.2211,1.1019
"0405207406",1.2211,1.1009
"0405207407",1.2211,1.113
"0405207408",1.2211,1.0979
"0405207409",1.2211,1.0928
"0405207410",1.2211,1.0928
"0405207411",1.2211,1.0989
"0405207412",1.2211,1.1171
"0405207413",1.2211,0.987
"0405207414",1.2211,0.9593
"0405207415",1.2211,0.9108
"0405207416",1.2211,0.9306
"0405207417",1.2211,0.9128
"0405207418",1.2211,0.9375
"0405207419",1.2211,0.9158
"0405207420",1.2211,0.9158
"0405207421",1.2211,0.9435
"0405207422",1.2211,0.9158
"0405207423",1.2211,0.9435
"0405207424",1.2211,0.9435
"0405307339",2.7745,1.2675
"0405307340",2.7724,1.2615
"0405307341",2.7724,1.2373
"0405307342",2.7724,1.2443
"0405307343",2.7724,1.2453
"0405307344",2.7724,1.2373
"0405307345",2.7724,1.2686
"0405307346",2.7724,1.2766
"0405307347",2.7724,1.2302
"0405307348",2.7724,1.2211
"0405307349",2.7724,1.215
"0405307350",2.7724,1.214
"0405307351",2.7724,1.208
"0405307352",2.7724,1.1867
"0405307353",2.7724,1.1807
"0405307354",2.7724,1.1857
"0405307355",2.7724,1.1585
"0405307356",2.7724,1.1716
"0405307357",2.7724,1.1716
"0405307358",2.7724,1.1676
"0405307359",2.7724,1.1686
"0405307360",2.7724,1.1676
"0405307361",2.7724,1.1676
"0405307362",2.7724,1.1655
"0405307363",2.7724,1.1564
"0405307364",2.7724,1.1645
"0405307365",2.7724,1.1706
"0405307366",2.7724,1.1756
"0405307367",2.7724,1.1686
"0405307368",2.7724,1.1746
"0405307369",2.7724,1.1777
"0405307370",2.7724,1.1807
"0405307371",2.7724,1.1857
"0405307372",2.7724,1.1787
"0405307373",2.7724,1.1756
"0405307374",2.7724,1.208
"0405307375",2.7724,1.2059
"0405307376",1.2211,1.2181
"0405307377",1.2211,1.1777
"0405307378",1.2211,1.1686
"0405307379",1.2211,1.1676
"0405307380",1.2211,1.1564
"0405307381",1.2211,1.1605
"0405307382",1.2211,1.1564
"0405307383",1.2211,1.1564
"0405307384",1.2211,1.1726
"0405307385",1.2211,1.1595
"0405307386",1.2211,1.1474
"0405307387",1.2211,1.1564
"0405307388",1.2211,1.1504
"0405307389",1.2211,1.1433
"0405307390",1.2211,1.116
"0405307391",1.2211,1.0958
"0405307392",1.2211,1.0918
"0405307393",1.2211,0.9494
"0405307394",1.2211,0.9702
"0405307395",1.2211,1.0736
"0405307396",1.2211,1.0686
"0405307397",1.2211,1.0686
"0405307398",1.2211,1.0908
"0405307399",1.2211,1.0615
"0405307400",1.2211,1.0635
"0405307401",1.2211,1.0797
"0405307402",1.2211,1.0918
"0405307403",1.2211,1.0797
"0405307404",1.2211,1.0969
"0405307405",1.2211,1.112
"0405307406",1.2211,1.1049
"0405307407",1.2211,1.0938
"0405307408",1.2211,1.0918
"0405307409",1.2211,1.0918
"0405307410",1.2211,1.0969
"0405307411",1.2211,1.0918
"0405307412",1.2211,0.986
"0405307413",1.2211,0.987
"0405307414",1.2211,0.9237
"0405307415",1.2211,0.9237
"0405307416",1.2211,0.9167
"0405307417",1.2211,0.9425
"0405307418",1.2211,0.9167
"0405307419",1.2211,0.9524
"0405307420",1.2211,0.9158
"0405307421",1.2211,0.9435
"0405307422",1.2211,0.9435
"0405307423",1.2211,0.9435
"0405307424",1.2211,0.9435
"0405307425",1.2211,0.9811
"0405407335",2.7745,1.2201
"0405407336",2.7745,1.2272
"0405407337",2.7745,1.215
"0405407338",2.7745,1.2231
"0405407339",2.7745,1.2282
"0405407340",2.7745,1.2332
"0405407341",2.7724,1.2352
"0405407342",2.7724,1.2332
"0405407343",2.7724,1.2675
"0405407344",2.7724,1.2787
"0405407345",2.7724,1.2474
"0405407346",2.7724,1.2373
"0405407347",2.7724,1.2322
"0405407348",2.7724,1.2302
"0405407349",2.7724,1.2302
"0405407350",2.7724,1.2069
"0405407351",2.7724,1.1958
"0405407352",2.7724,1.1615
"0405407353",2.7724,1.1575
"0405407354",2.7724,1.1847
"0405407355",2.7724,1.1847
"0405407356",2.7724,1.1787
"0405407357",2.7724,1.1847
"0405407358",2.7724,1.1777
"0405407359",2.7724,1.1736
"0405407360",2.7724,1.1756
"0405407361",2.7724,1.1645
"0405407362",2.7724,1.1564
"0405407363",2.7724,1.1585
"0405407364",2.7724,1.1665
"0405407365",2.7724,1.1655
"0405407366",2.7724,1.1645
"0405407367",2.7724,1.1726
"0405407368",2.7724,1.1716
"0405407369",2.7724,1.1746
"0405407370",2.7724,1.1766
"0405407371",2.7724,1.216
"0405407372",2.7724,1.2181
"0405407373",2.7724,1.212
"0405407374",2.7724,1.214
"0405407375",1.2211,1.1756
"0405407376",1.2211,1.2059
"0405407377",1.2211,1.2069
"0405407378",1.2211,1.1766
"0405407379",1.2211,1.1635
"0405407380",1.2211,1.1716
"0405407381",1.2211,1.1453
"0405407382",1.2211,1.1504
"0405407383",1.2211,1.1696
"0405407384",1.2211,1.1463
"0405407385",1.2211,1.1494
"0405407386",1.2211,1.1665
"0405407387",1.2211,1.107
"0405407388",1.2211,1.1312
"0405407389",1.2211,1.0878
"0405407390",1.2211,1.0847
"0405407391",1.2211,0.9722
"0405407392",1.2211,0.9217
"0405407393",1.2211,0.9217
"0405407394",1.2211,0.9217
"0405407395",1.2211,1.0686
"0405407396",1.2211,1.0686
"0405407397",1.2211,1.0524
"0405407398",1.2211,1.0645
"0405407399",1.2211,1.0494
"0405407400",1.2211,1.0908
"0405407401",1.2211,1.0928
"0405407402",1.2211,1.0585
"0405407403",1.2211,1.0706
"0405407404",1.2211,1.0979
"0405407405",1.2211,1.0979
"0405407406",1.2211,1.0989
"0405407407",1.2211,1.11
"0405407408",1.2211,1.0908
"0405407409",1.2211,1.1029
"0405407410",1.2211,0.989
"0405407411",1.2211,0.9078
"0405407412",1.2211,0.989
"0405407413",1.2211,0.9385
"0405407414",1.2211,0.9385
"0405407415",1.2211,0.9148
"0405407416",1.2211,0.9207
"0405407417",1.2211,0.9415
"0405407418",1.2211,0.9415
"0405407419",1.2211,0.9405
"0405407420",1.2211,0.9158
"0405407421",1.2211,0.9435
"0405407422",1.2211,0.9158
"0405407423",1.2211,0.9435
"0405407424",1.2211,0.9722
"0405407425",1.2211,0.9821
"0405507325",2.7745,1.1908
"0405507326",2.7745,1.1918
"0405507327",2.7745,1.2181
"0405507328",2.7745,1.1827
"0405507329",2.7745,1.2201
"0405507330",2.7745,1.2241
"0405507331",2.7745,1.1878
"0405507332",2.7745,1.2171
"0405507333",2.7745,1.2201
"0405507334",2.7745,1.1908
"0405507335",2.7745,1.215
"0405507336",2.7745,1.2201
"0405507337",2.7745,1.2524
"0405507338",2.7745,1.2272
"0405507339",2.7745,1.2575
"0405507340",2.7745,1.2282
"0405507341",2.7724,1.2332
"0405507342",2.7724,1.2443
"0405507343",2.7724,1.2443
"0405507344",2.7724,1.2423
"0405507345",2.7724,1.2383
"0405507346",2.7724,1.2433
"0405507347",2.7724,1.2423
"0405507348",2.7724,1.2272
"0405507349",2.7724,1.216
"0405507350",2.7724,1.2211
"0405507351",2.7724,1.208
"0405507352",2.7724,1.1928
"0405507353",2.7724,1.1928
"0405507354",2.7724,1.1807
"0405507355",2.7724,1.1726
"0405507356",2.7724,1.1756
"0405507357",2.7724,1.1706
"0405507358",2.7724,1.1777
"0405507359",2.7724,1.1676
"0405507360",2.7724,1.1645
"0405507361",2.7724,1.1645
"0405507362",2.7724,1.1665
"0405507363",2.7724,1.1564
"0405507364",2.7724,1.1554
"0405507365",2.7724,1.1645
"0405507366",2.7724,1.1696
"0405507367",2.7724,1.1787
"0405507368",2.7724,1.1837
"0405507369",2.7724,1.1918
"0405507370",2.7724,1.1888
"0405507371",2.7724,1.1756
"0405507372",2.7724,1.1817
"0405507373",2.7724,1.2241
"0405507374",2.7724,1.214
"0405507375",1.2211,1.1797
"0405507376",1.2211,1.209
"0405507377",1.2211,1.1676
"0405507378",1.2211,1.1777
"0405507379",1.2211,1.1706
"0405507380",1.2211,1.1564
"0405507381",1.2211,1.1635
"0405507382",1.2211,1.1443
"0405507383",1.2211,1.0857
"0405507384",1.2211,1.0958
"0405507385",1.2211,1.0868
"0405507386",1.2211,1.0948
"0405507387",1.2211,1.1019
"0405507388",1.2211,0.9395
"0405507389",1.2211,0.989
"0405507390",1.2211,0.9494
"0405507391",1.2211,0.9217
"0405507392",1.2211,0.9217
"0405507393",1.2211,0.9217
"0405507394",1.2211,0.9217
"0405507395",1.2211,1.0686
"0405507396",1.2211,1.0666
"0405507397",1.2211,1.0666
"0405507398",1.2211,1.0736
"0405507399",1.2211,1.0716
"0405507400",1.2211,1.0585
"0405507401",1.2211,1.0595
"0405507402",1.2211,1.0746
"0405507403",1.2211,1.0534
"0405507404",1.2211,1.0979
"0405507405",1.2211,1.0948
"0405507406",1.2211,1.0837
"0405507407",1.2211,1.115
"0405507408",1.2211,1.109
"0405507409",1.2211,0.9415
"0405507410",1.2211,0.9504
"0405507411",1.2211,0.9534
"0405507412",1.2211,0.9435
"0405507413",1.2211,0.9415
"0405507414",1.2211,0.9296
"0405507415",1.2211,0.9346
"0405507416",1.2211,0.9029
"0405507417",1.2211,0.9494
"0405507418",1.2211,0.9405
"0405507419",1.2211,0.9375
"0405507420",1.2211,0.9158
"0405507421",1.2211,0.9435
"0405507422",1.2211,0.9435
"0405507423",1.2211,0.9722
"0405507424",1.2211,0.9761
"0405607322",2.7745,1.1918
"0405607323",2.7745,1.1918
"0405607324",2.7745,1.1857
"0405607325",2.7745,1.1878
"0405607326",2.7745,1.1878
"0405607327",2.7745,1.2191
"0405607328",2.7745,1.2292
"0405607329",2.7745,1.1857
"0405607330",2.7745,1.1918
"0405607331",2.7745,1.1918
"0405607332",2.7745,1.1908
"0405607333",2.7745,1.2211
"0405607334",2.7745,1.2221
"0405607335",2.7745,1.2191
"0405607336",2.7745,1.216
"0405607337",2.7745,1.215
"0405607338",2.7745,1.2534
"0405607339",2.7745,1.2564
"0405607340",2.7745,1.2635
"0405607341",2.7745,1.2706
"0405607342",2.7724,1.2807
"0405607343",2.7724,1.2403
"0405607344",2.7724,1.2463
"0405607345",2.7724,1.2403
"0405607346",2.7724,1.2756
"0405607347",2.7724,1.2766
"0405607348",2.7724,1.2342
"0405607349",2.7724,1.2282
"0405607350",2.7724,1.214
"0405607351",2.7724,1.208
"0405607352",2.7724,1.1999
"0405607353",2.7724,1.1898
"0405607354",2.7724,1.1888
"0405607355",2.7724,1.1938
"0405607356",2.7724,1.1817
"0405607357",2.7724,1.1403
"0405607358",2.7724,1.1272
"0405607359",2.7724,1.1383
"0405607360",2.7724,1.1312
"0405607361",2.7724,1.1302
"0405607362",2.7724,1.1463
"0405607363",2.7724,1.1453
"0405607364",2.7724,1.1453
"0405607365",2.7724,1.1453
"0405607366",2.7724,1.1453
"0405607367",2.7724,1.112
"0405607368",2.7724,1.112
"0405607369",2.7724,1.1453
"0405607370",2.7724,1.1393
"0405607371",2.7724,1.1413
"0405607372",2.7724,1.1847
"0405607373",2.7724,1.1837
"0405607374",1.2211,1.1837
"0405607375",1.2211,1.1979
"0405607376",1.2211,1.1847
"0405607377",1.2211,1.1807
"0405607378",1.2211,1.1645
"0405607379",1.2211,1.1635
"0405607380",1.2211,1.1221
"0405607381",1.2211,1.1019
"0405607382",1.2211,1.0918
"0405607383",1.2211,1.0958
"0405607384",1.2211,1.107
"0405607385",1.2211,0.9306
"0405607386",1.2211,0.9217
"0405607387",1.2211,0.9217
"0405607388",1.2211,0.9217
"0405607389",1.2211,0.9811
"0405607390",1.2211,0.9217
"0405607391",1.2211,0.9217
"0405607392",1.2211,0.9217
"0405607393",1.2211,1.0686
"0405607394",1.2211,1.0666
"0405607395",1.2211,1.0666
"0405607396",1.2211,1.0666
"0405607397",1.2211,1.0969
"0405607398",1.2211,0.9425
"0405607399",1.2211,0.9395
"0405607400",1.2211,0.9415
"0405607401",1.2211,1.0686
"0405607402",1.2211,1.0494
"0405607403",1.2211,1.0666
"0405607404",1.2211,0.9623
"0405607405",1.2211,0.9623
"0405607406",1.2211,1.0827
"0405607407",1.2211,1.115
"0405607408",1.2211,0.9356
"0405607409",1.2211,0.9336
"0405607410",1.2211,0.9286
"0405607411",1.2211,0.9296
"0405607412",1.2211,0.9454
"0405607413",1.2211,0.9722
"0405607414",1.2211,0.9752
"0405607415",1.2211,0.9445
"0405607416",1.2211,0.9395
"0405607417",1.2211,0.9514
"0405607418",1.2211,0.9276
"0405607419",1.2211,0.9158
"0405607420",1.2211,0.9732
"0405607421",1.2211,0.9781
"0405707318",2.7745,1.1908
"0405707319",2.7745,1.1918
"0405707320",2.7745,1.1564
"0405707321",2.7745,1.1564
"0405707322",2.7745,1.1908
"0405707323",2.7745,1.1827
"0405707324",2.7745,1.1817
"0405707325",2.7745,1.1807
"0405707326",2.7745,1.1827
"0405707327",2.7745,1.1918
"0405707328",2.7745,1.1857
"0405707329",2.7745,1.2241
"0405707330",2.7745,1.1878
"0405707331",2.7745,1.2171
"0405707332",2.7745,1.2241
"0405707333",2.7745,1.216
"0405707334",2.7745,1.1918
"0405707335",2.7745,1.2272
"0405707336",2.7745,1.216
"0405707337",2.7745,1.2272
"0405707338",2.7745,1.2272
"0405707339",2.7745,1.2282
"0405707340",2.7745,1.2292
"0405707341",2.7745,1.2342
"0405707342",2.7724,1.2645
"0405707343",2.7724,1.2675
"0405707344",2.7724,1.2776
"0405707345",2.7724,1.2837
"0405707346",2.7724,1.2453
"0405707347",2.7724,1.2443
"0405707348",2.7724,1.2282
"0405707349",2.7724,1.2373
"0405707350",2.7724,1.2302
"0405707351",2.7724,1.1766
"0405707352",2.7724,1.1726
"0405707353",2.7724,1.1716
"0405707354",2.7724,1.1615
"0405707355",2.7724,1.0888
"0405707356",2.7724,1.0888
"0405707357",2.7724,1.0817
"0405707358",2.7724,1.1251
"0405707359",2.7724,1.1292
"0405707360",2.7724,1.1322
"0405707361",2.7724,1.115
"0405707362",2.7724,1.112
"0405707363",2.7724,1.112
"0405707364",2.7724,1.1453
"0405707365",2.7724,1.112
"0405707366",2.7724,1.1453
"0405707367",2.7724,1.1453
"0405707368",2.7724,1.112
"0405707369",2.7724,1.112
"0405707370",2.7724,1.1453
"0405707371",2.7724,1.1342
"0405707372",2.7724,1.1696
"0405707373",2.7724,1.1686
"0405707374",1.2211,1.1686
"0405707375",1.2211,1.1726
"0405707376",1.2211,1.1625
"0405707377",1.2211,1.1564
"0405707378",1.2211,1.1221
"0405707379",1.2211,1.1221
"0405707380",1.2211,1.1221
"0405707381",1.2211,1.0888
"0405707382",1.2211,0.9276
"0405707383",1.2211,0.9306
"0405707384",1.2211,0.9207
"0405707385",1.2211,0.9257
"0405707386",1.2211,0.8999
"0405707387",1.2211,0.9217
"0405707388",1.2211,0.9702
"0405707389",1.2211,1.014
"0405707390",1.2211,1.111
"0405707391",1.2211,1.0827
"0405707392",1.2211,1.0151
"0405707393",1.2211,0.9197
"0405707394",1.2211,0.9197
"0405707395",1.2211,0.9197
"0405707396",1.2211,0.9197
"0405707397",1.2211,0.9187
"0405707398",1.2211,0.9187
"0405707399",1.2211,0.9019
"0405707400",1.2211,0.8752
"0405707401",1.2211,0.8752
"0405707402",1.2211,1.0494
"0405707403",1.2211,1.0575
"0405707404",1.2211,1.0726
"0405707405",1.2211,0.9623
"0405707406",1.2211,1.115
"0405707407",1.2211,0.9336
"0405707408",1.2211,0.9336
"0405707409",1.2211,0.9158
"0405707410",1.2211,0.9237
"0405707411",1.2211,0.9395
"0405707412",1.2211,0.9395
"0405707413",1.2211,0.9375
"0405707414",1.2211,0.985
"0405707415",1.2211,0.9712
"0405707416",1.2211,0.9732
"0405707417",1.2211,1.0342
"0405707418",1.2211,1.0282
"0405707419",1.2211,1.011
"0405707420",1.2211,0.9732
"0405707421",1.2211,0.9771
"0405807315",2.7745,1.1564
"0405807316",2.7745,1.1564
"0405807317",2.7745,1.1908
"0405807318",2.7745,1.1564
"0405807319",2.7745,1.1908
"0405807320",2.7745,1.1908
"0405807321",2.7745,1.1908
"0405807322",2.7745,1.1797
"0405807323",2.7745,1.1797
"0405807324",2.7745,1.1908
"0405807325",2.7745,1.1827
"0405807326",2.7745,1.1797
"0405807327",2.7745,1.1797
"0405807328",2.7745,1.2171
"0405807329",2.7745,1.1797
"0405807330",2.7745,1.216
"0405807331",2.7745,1.1968
"0405807332",2.7745,1.2322
"0405807333",2.7745,1.2241
"0405807334",2.7745,1.2181
"0405807335",2.7745,1.2171
"0405807336",2.7745,1.2272
"0405807337",2.7745,1.216
"0405807338",2.7745,1.2272
"0405807339",2.7745,1.2524
"0405807340",2.7745,1.2585
"0405807341",2.7745,1.2585
"0405807342",2.7724,1.2726
"0405807343",2.7724,1.2686
"0405807344",2.7724,1.2665
"0405807345",2.7724,1.2706
"0405807346",2.7724,1.2433
"0405807347",2.7724,1.2484
"0405807348",2.7724,1.2484
"0405807349",2.7724,1.2413
"0405807350",2.7724,1.2342
"0405807351",2.7724,1.1191
"0405807352",2.7724,1.0948
"0405807353",2.7724,1.0837
"0405807354",2.7724,1.0868
"0405807355",2.7724,1.0837
"0405807356",2.7724,1.0787
"0405807357",2.7724,0.9593
"0405807358",2.7724,0.988
"0405807359",2.7724,0.988
"0405807360",2.7724,1.0312
"0405807361",2.7724,0.988
"0405807362",2.7724,0.9593
"0405807363",2.7724,0.9593
"0405807364",2.7724,0.9593
"0405807365",2.7724,0.9593
"0405807366",2.7724,0.9593
"0405807367",2.7724,0.9593
"0405807368",2.7724,0.9593
"0405807369",2.7724,0.988
"0405807370",2.7724,0.988
"0405807371",2.7724,0.9593
"0405807372",2.7724,0.9593
"0405807373",2.7724,1.013
"0405807374",1.2211,0.9761
"0405807375",1.2211,1.0221
"0405807376",1.2211,1.0191
"0405807377",1.2211,0.9494
"0405807378",1.2211,0.9682
"0405807379",1.2211,0.9682
"0405807380",1.2211,0.9682
"0405807381",1.2211,0.9217
"0405807382",1.2211,0.9375
"0405807383",1.2211,0.9306
"0405807384",1.2211,0.9365
"0405807385",1.2211,0.9227
"0405807386",1.2211,1.0868
"0405807387",1.2211,0.9821
"0405807388",1.2211,0.9742
"0405807389",1.2211,1.0151
"0405807390",1.2211,1.0161
"0405807391",1.2211,0.9672
"0405807392",1.2211,0.9652
"0405807393",1.2211,0.9197
"0405807394",1.2211,0.9197
"0405807395",1.2211,0.9197
"0405807396",1.2211,0.9197
"0405807397",1.2211,0.8752
"0405807398",1.2211,0.9098
"0405807399",1.2211,0.9039
"0405807400",1.2211,0.9088
"0405807401",1.2211,0.8752
"0405807402",1.2211,1.0504
"0405807403",1.2211,1.0393
"0405807404",1.2211,1.0413
"0405807405",1.2211,0.9336
"0405807406",1.2211,0.8979
"0405807407",1.2211,0.9336
"0405807408",1.2211,0.9336
"0405807409",1.2211,0.9336
"0405807410",1.2211,0.9276
"0405807411",1.2211,0.9276
"0405807412",1.2211,0.9405
"0405807413",1.2211,0.9365
"0405807414",1.2211,0.9217
"0405807415",1.2211,0.9356
"0405807416",1.2211,0.9395
"0405807417",1.2211,1.0231
"0405807418",1.2211,0.9752
"0405807419",1.1979,0.9405
"0405807420",1.1979,0.9435
"0405807421",1.2211,0.9672
"0405907311",2.7735,1.21
"0405907312",2.7735,1.1999
"0405907313",2.7735,1.1938
"0405907314",2.7735,1.1989
"0405907315",2.7735,1.1635
"0405907316",2.7745,1.1564
"0405907317",2.7745,1.1918
"0405907318",2.7745,1.1908
"0405907319",2.7745,1.1564
"0405907320",2.7745,1.1908
"0405907321",2.7745,1.1564
"0405907322",2.7745,1.1918
"0405907323",2.7745,1.1918
"0405907324",2.7745,1.1918
"0405907325",2.7745,1.1918
"0405907326",2.7745,1.1918
"0405907327",2.7745,1.1908
"0405907328",2.7745,1.1908
"0405907329",2.7745,1.1908
"0405907330",2.7745,1.1918
"0405907331",2.7745,1.1918
"0405907332",2.7745,1.2211
"0405907333",2.7745,1.1837
"0405907334",2.7745,1.1888
"0405907335",2.7745,1.2221
"0405907336",2.7745,1.1918
"0405907337",2.7745,1.2191
"0405907338",2.7745,1.2272
"0405907339",2.7745,1.2272
"0405907340",2.7745,1.1575
"0405907341",2.7745,1.2272
"0405907342",2.7724,1.2504
"0405907343",2.7724,1.2433
"0405907344",2.7724,1.2605
"0405907345",2.7724,1.2312
"0405907346",2.7724,1.1524
"0405907347",2.7724,1.1544
"0405907348",2.7724,1.1585
"0405907349",2.7724,1.1797
"0405907350",2.7724,1.1231
"0405907351",2.7724,1.116
"0405907352",2.7724,1.112
"0405907353",2.7724,1.0979
"0405907354",2.7724,1.0918
"0405907355",2.7724,1.0565
"0405907356",2.7724,1.0454
"0405907357",2.7724,0.9593
"0405907358",2.7724,0.988
"0405907359",2.7724,0.988
"0405907360",2.7724,0.988
"0405907361",2.7724,0.988
"0405907362",2.7724,0.988
"0405907363",2.7724,0.9593
"0405907364",2.7724,0.9593
"0405907365",2.7724,0.9633
"0405907366",2.7724,0.9356
"0405907367",2.7724,0.9593
"0405907368",2.7724,0.9405
"0405907369",2.7724,1.0211
"0405907370",2.7724,1.0181
"0405907371",2.7724,0.9742
"0405907372",2.7724,1.0413
"0405907373",2.7724,1.0241
"0405907374",1.2211,1.0241
"0405907375",1.2211,0.9494
"0405907376",1.2211,0.9811
"0405907377",1.2211,0.9811
"0405907378",1.2211,0.9682
"0405907379",1.2211,0.9682
"0405907380",1.2211,0.9682
"0405907381",1.2211,0.9454
"0405907382",1.2211,0.9217
"0405907383",1.2211,0.9217
"0405907384",1.2211,0.9217
"0405907385",1.2211,1.0322
"0405907386",1.2211,1.0161
"0405907387",1.2211,0.9702
"0405907388",1.2211,0.9553
"0405907389",1.2211,0.9623
"0405907390",1.2211,0.988
"0405907391",1.2211,1.011
"0405907392",1.2211,0.9316
"0405907393",1.2211,0.9257
"0405907394",1.2211,0.9197
"0405907395",1.2211,0.9237
"0405907396",1.2211,0.9286
"0405907397",1.2211,0.8752
"0405907398",1.2211,0.9237
"0405907399",1.2211,0.9237
"0405907400",1.2211,0.9019
"0405907401",1.2211,0.9237
"0405907402",1.2211,1.0363
"0405907403",1.2211,1.0231
"0405907404",1.2211,1.0585
"0405907405",1.2211,0.8623
"0405907406",1.2211,0.9019
"0405907407",1.2211,0.9336
"0405907408",1.2211,0.9058
"0405907409",1.2211,0.9336
"0405907410",1.2211,0.8811
"0405907411",1.2211,0.9247
"0405907412",1.2211,0.9009
"0405907413",1.2211,0.9128
"0405907414",1.2211,0.9039
"0405907415",1.1979,0.9167
"0405907416",1.1979,0.9276
"0405907417",1.1625,0.9405
"0405907418",1.1625,0.9494
"0405907419",1.1625,0.9692
"0405907420",1.1979,1.014
"0406007306",2.7735,1.2181
"0406007307",2.7735,1.2191
"0406007308",2.7735,1.2191
"0406007309",2.7735,1.2171
"0406007310",2.7735,1.21
"0406007311",2.7735,1.211
"0406007312",2.7735,1.21
