"zip","fire1","fire2","brush_fire","water_weather","water_nonweather","wind","hail","lightning","theft","liability","hurricane","other"
"10104",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10105",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10106",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10107",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10110",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10111",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10112",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10115",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10118",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10119",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10120",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10121",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10122",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10123",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10128",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10151",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10152",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10153",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10154",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10155",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10158",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10161",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10162",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10165",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10166",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10167",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10168",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10169",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10170",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10171",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10172",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10173",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10174",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10175",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10176",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10177",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10178",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10199",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10270",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10271",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10278",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10279",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10280",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10281",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10282",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10301",1.0958,1.0958,1,0.9781,0.892,1.4494,1.3524,0.4821,0.6722,1.5827,4.7096,0.394
"10302",1.0958,1.0958,1,0.9781,0.892,1.4494,1.3524,0.4821,0.6722,1.5827,4.7096,0.394
"10303",1.0958,1.0958,1,0.9781,0.892,1.4494,1.3524,0.4821,0.6722,1.5827,4.7096,0.394
"10304",1.0958,1.0958,1,0.9781,0.892,1.4494,1.3524,0.4821,0.6722,1.5827,4.7096,0.394
"10305",1.0958,1.0958,1,0.9781,0.892,1.4494,1.3524,0.4821,0.6722,1.5827,4.7096,0.394
"10306",1.0958,1.0958,1,0.9781,0.892,1.4494,1.3524,0.4821,0.6722,1.5827,4.7096,0.394
"10307",1.0958,1.0958,1,0.9781,0.892,1.4494,1.3524,0.4821,0.6722,1.5827,4.7096,0.394
"10308",1.0958,1.0958,1,0.9781,0.892,1.4494,1.3524,0.4821,0.6722,1.5827,4.7096,0.394
"10309",1.0958,1.0958,1,0.9781,0.892,1.4494,1.3524,0.4821,0.6722,1.5827,4.7096,0.394
"10310",1.0958,1.0958,1,0.9781,0.892,1.4494,1.3524,0.4821,0.6722,1.5827,4.7096,0.394
"10311",1.0958,1.0958,1,0.9781,0.892,1.4494,1.3524,0.4821,0.6722,1.5827,4.7096,0.394
"10312",1.0958,1.0958,1,0.9781,0.892,1.4494,1.3524,0.4821,0.6722,1.5827,4.7096,0.394
"10314",1.0958,1.0958,1,0.9781,0.892,1.4494,1.3524,0.4821,0.6722,1.5827,4.7096,0.394
"10451",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10452",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10453",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10454",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10455",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10456",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10457",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10458",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10459",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10460",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10461",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10462",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10463",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10464",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10465",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10466",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10467",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10468",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10469",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10470",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10471",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10472",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10473",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10474",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10475",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10501",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10502",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10504",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10505",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10506",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10507",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10509",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10510",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10511",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10512",0.8662,0.8662,1,0.8187,1.0898,0.8722,0.891,1.8786,0.5762,0.6613,0,0.9276
"10514",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10516",0.8662,0.8662,1,0.8187,1.0898,0.8722,0.891,1.8786,0.5762,0.6613,0,0.9276
"10517",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10518",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10519",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10520",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10522",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10523",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10524",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10526",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10527",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10528",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10530",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10532",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10533",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10535",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10536",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10537",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10538",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10541",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10543",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10546",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10547",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10548",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10549",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10550",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10552",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10553",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10560",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10562",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10566",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10567",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10570",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10573",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10576",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10577",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10578",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10579",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10580",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10583",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10587",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10588",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10589",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10590",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10591",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10594",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10595",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10596",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10597",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10598",1.1696,1.1696,1,0.9128,0.79,0.9019,0.8742,0.9771,0.6395,1.3928,0,0.688
"10601",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10603",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10604",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10605",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10606",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10607",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10701",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10702",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10703",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10704",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10705",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10706",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10707",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10708",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10709",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10710",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10801",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10803",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10804",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10805",1.1696,1.1696,1,0.9128,0.79,1.1312,0.8742,0.9771,0.6395,1.3928,4.4198,0.688
"10901",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10911",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10913",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10914",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10916",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10917",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10918",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10919",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10920",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10921",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10922",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10923",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10924",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10925",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10926",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10927",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10928",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10930",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10931",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10932",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10933",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
"10940",0.8662,0.8662,1,0.8187,1.0898,0.7504,0.9474,1.2726,1.1221,0.6613,0,0.9276
